         48591972 function calls (47954037 primitive calls) in 579.909 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   3260/1    0.133    0.000  580.026  580.026 {built-in method builtins.exec}
        1    0.002    0.002  580.026  580.026 train.py:1(<module>)
        1    0.000    0.000  575.047  575.047 train.py:19(main)
        1    1.237    1.237  572.462  572.462 experiment.py:125(run_environmental_steps)
    20000    1.270    0.000  533.785    0.027 experiment.py:104(_learn_from_episode)
    20000    5.695    0.000  505.162    0.025 learner.py:47(train)
207105/41421    0.858    0.000  347.055    0.008 module.py:1528(_wrapped_call_impl)
207105/41421    1.967    0.000  346.810    0.008 module.py:1534(_call_impl)
    41421    2.188    0.000  345.779    0.008 model.py:54(forward)
    41421    1.723    0.000  297.366    0.007 rnn.py:850(forward)
    41421  292.493    0.007  292.493    0.007 {built-in method torch.lstm}
    20000    0.176    0.000   88.802    0.004 _tensor.py:466(backward)
    20000    0.283    0.000   88.619    0.004 __init__.py:165(backward)
    20000    0.244    0.000   87.676    0.004 graph.py:739(_engine_run_backward)
    20000   87.386    0.004   87.386    0.004 {method 'run_backward' of 'torch._C._EngineBase' objects}
   124263    0.708    0.000   32.596    0.000 linear.py:115(forward)
   124263   31.673    0.000   31.673    0.000 {built-in method torch._C._nn.linear}
    20000    0.827    0.000   31.535    0.002 optimizer.py:374(wrapper)
    20000    0.399    0.000   28.728    0.001 optimizer.py:58(_use_grad)
    20000    0.307    0.000   28.085    0.001 adam.py:135(step)
    20000    0.431    0.000   27.353    0.001 buffer.py:175(sample_trajectories)
    20000    9.952    0.000   26.180    0.001 buffer.py:196(_get_batch_trajectories)
    20000    0.215    0.000   25.604    0.001 adam.py:260(adam)
    20000    8.654    0.000   24.548    0.001 adam.py:338(_single_tensor_adam)
    20002    0.630    0.000   19.227    0.001 runner.py:69(run)
      309    0.610    0.002   17.477    0.057 __init__.py:1(<module>)
    25004    0.145    0.000   17.264    0.001 std.py:1325(refresh)
    25005    0.168    0.000   16.734    0.001 std.py:1464(display)
    20001    0.231    0.000   14.604    0.001 _compile.py:20(inner)
    20000    0.070    0.000   14.394    0.001 std.py:1382(set_description)
   201439   10.878    0.000   10.878    0.000 {built-in method torch.tensor}
    75015    0.134    0.000   10.033    0.000 utils.py:378(disp_len)
    20002    0.202    0.000    9.821    0.000 decorators.py:36(disable)
    75015    0.121    0.000    9.760    0.000 utils.py:374(_text_width)
    75293    2.163    0.000    9.639    0.000 {built-in method builtins.sum}
    25005    0.174    0.000    9.462    0.000 std.py:1150(__str__)
    20002    0.582    0.000    9.143    0.000 eval_frame.py:351(__call__)
    25005    1.082    0.000    8.870    0.000 std.py:464(format_meter)
    41421    8.454    0.000    8.454    0.000 {built-in method torch._C._nn.one_hot}
   100000    0.180    0.000    8.435    0.000 buffer.py:265(to_torch)
 10519216    5.554    0.000    7.476    0.000 utils.py:375(<genexpr>)
    20002    0.301    0.000    7.366    0.000 buffer.py:154(add_episode)
  5124/27    0.030    0.000    7.242    0.268 <frozen importlib._bootstrap>:1165(_find_and_load)
  2477/26    0.019    0.000    7.241    0.279 <frozen importlib._bootstrap>:1120(_find_and_load_unlocked)
  2299/27    0.014    0.000    7.221    0.267 <frozen importlib._bootstrap>:666(_load_unlocked)
